current_datetime,current_block_number,gas_price_Gwei,safe_gas_price,ProposeGasPrice,fast_gas_price,priority_safe,priority_propose,priority_fast,BaseFee
2023-04-23 16:03:31,17110076,51.771825855,52,52,55,0.3281741449999984,0.3281741449999984,3.3281741449999984,51.671825855
2023-04-23 16:03:40,17110077,51.771825855,50,50,52,0.0312478130000002,0.0312478130000002,2.031247813,49.968752187
2023-04-23 16:03:49,17110078,50.068752187,50,50,52,0.0312478130000002,0.0312478130000002,2.031247813,49.968752187
2023-04-23 16:04:08,17110079,48.606911046,49,49,51,0.4930889540000009,0.4930889540000009,2.493088954000001,48.506911046
2023-04-23 16:04:25,17110080,47.162939937,47,47,47,0.1166573400000032,0.1166573400000032,0.1166573400000032,46.88334266
2023-04-23 16:04:34,17110081,46.98334266,47,47,47,0.5471472239999997,0.5471472239999997,0.5471472239999997,46.452852776
2023-04-23 16:04:42,17110082,46.552852776,53,53,54,0.7520806770000021,0.7520806770000021,1.752080677000002,52.247919323
2023-04-23 16:04:52,17110083,52.347919323,53,53,54,0.7520806770000021,0.7520806770000021,1.752080677000002,52.247919323
2023-04-23 16:05:09,17110084,49.406122431,50,50,51,0.6938775690000014,0.6938775690000014,1.6938775690000014,49.306122431
2023-04-23 16:05:19,17110085,48.229949123,48,48,49,0.8619100599999996,0.8619100599999996,1.86191006,47.13808994
2023-04-23 16:05:29,17110086,48.229949123,48,48,49,0.8619100599999996,0.8619100599999996,1.86191006,47.13808994
2023-04-23 16:05:36,17110087,47.23808994,47,47,48,0.7031481969999973,0.7031481969999973,1.7031481969999973,46.296851803
2023-04-23 16:05:54,17110088,45.172194748,46,46,46,0.9278052519999987,0.9278052519999987,0.9278052519999987,45.072194748
2023-04-23 16:06:11,17110089,46.341642795,45,45,45,0.3219952350000028,0.3219952350000028,0.3219952350000028,44.678004765
2023-04-23 16:06:22,17110090,44.778004765,45,45,47,0.5372184909999973,0.5372184909999973,2.5372184909999973,44.462781509
2023-04-23 16:06:30,17110091,44.562781509,45,45,47,0.5372184909999973,0.5372184909999973,2.5372184909999973,44.462781509
2023-04-23 16:06:40,17110092,44.562781509,46,46,47,0.0510081500000012,0.0510081500000012,1.0510081500000013,45.94899185
2023-04-23 16:06:56,17110093,45.640918088,46,46,49,0.459081912000002,0.459081912000002,3.459081912000002,45.540918088
2023-04-23 16:07:05,17110094,44.760879695,45,45,47,0.3391203050000015,0.3391203050000015,2.3391203050000016,44.660879695
2023-04-23 16:07:20,17110095,43.837965594,44,44,46,0.847228702999999,0.847228702999999,2.847228702999999,43.152771297
2023-04-23 16:07:31,17110096,43.252771297,44,44,46,0.847228702999999,0.847228702999999,2.847228702999999,43.152771297
2023-04-23 16:07:41,17110097,43.252771297,48,48,51,0.9250244139999992,0.9250244139999992,3.9250244139999992,47.074975586
2023-04-23 16:07:58,17110098,46.906744337,47,47,50,0.1932556630000022,0.1932556630000022,3.193255663000002,46.806744337
2023-04-23 16:08:07,17110099,46.898637409,47,47,50,0.2013625909999987,0.2013625909999987,3.2013625909999988,46.798637409
2023-04-23 16:08:14,17110100,46.898637409,47,47,50,0.2013625909999987,0.2013625909999987,3.2013625909999988,46.798637409
2023-04-23 16:08:26,17110101,44.761165414,49,49,52,0.706719532000001,0.706719532000001,3.706719532000001,48.293280468
